Datum,   Brot,Fleisch,    Fisch,    Molkerei-Eier,    Speisefette-öle,    Obst,    Gemüse,"    Zucker, Marmelade, Honig",    Fertigerichte,  Kaffee-Tee,    Wasser-Saft
2020-05-19,100.9,101.5,101.1,101.7,101.3,102.2,104.8,100.7,101.2,101.4,101.4
2020-05-20,100.9,101.5,101.1,101.7,101.3,102.2,104.8,100.7,101.2,101.4,101.4
2020-05-21,100.9,101.5,101.1,101.7,101.3,102.2,104.8,100.7,101.2,101.4,101.4
2020-05-22,100.9,101.5,101.1,101.7,101.3,102.2,104.8,100.7,101.2,101.4,101.4
2020-05-23,100.9,101.5,101.1,101.7,101.3,102.2,104.8,100.7,101.2,101.4,101.4
2020-05-24,100.9,101.5,101.1,101.7,101.3,102.2,104.8,100.7,101.2,101.4,101.4
2020-05-25,100.9,101.5,101.1,101.7,101.3,102.2,104.8,100.7,101.2,101.4,101.4
2020-05-26,100.9,101.5,101.1,101.7,101.3,102.2,104.8,100.7,101.2,101.4,101.4
2020-05-27,100.9,101.5,101.1,101.7,101.3,102.2,104.8,100.7,101.2,101.4,101.4
2020-05-28,100.9,101.5,101.1,101.7,101.3,102.2,104.8,100.7,101.2,101.4,101.4
2020-05-29,100.9,101.5,101.1,101.7,101.3,102.2,104.8,100.7,101.2,101.4,101.4
2020-05-30,100.9,101.5,101.1,101.7,101.3,102.2,104.8,100.7,101.2,101.4,101.4
2020-05-31,100.9,101.5,101.1,101.7,101.3,102.2,104.8,100.7,101.2,101.4,101.4
2020-06-01,101.2,101.7,101.0,101.7,100.2,102.5,101.9,101.3,101.5,101.3,101.2
2020-06-02,101.2,101.7,101.0,101.7,100.2,102.5,101.9,101.3,101.5,101.3,101.2
2020-06-03,101.2,101.7,101.0,101.7,100.2,102.5,101.9,101.3,101.5,101.3,101.2
2020-06-04,101.2,101.7,101.0,101.7,100.2,102.5,101.9,101.3,101.5,101.3,101.2
2020-06-05,101.2,101.7,101.0,101.7,100.2,102.5,101.9,101.3,101.5,101.3,101.2
2020-06-06,101.2,101.7,101.0,101.7,100.2,102.5,101.9,101.3,101.5,101.3,101.2
2020-06-07,101.2,101.7,101.0,101.7,100.2,102.5,101.9,101.3,101.5,101.3,101.2
2020-06-08,101.2,101.7,101.0,101.7,100.2,102.5,101.9,101.3,101.5,101.3,101.2
2020-06-09,101.2,101.7,101.0,101.7,100.2,102.5,101.9,101.3,101.5,101.3,101.2
